GEOID,Income,year
04000US45,37570,2000
04000US46,36475,2000
04000US47,34096,2000
04000US48,38609,2000
04000US49,47550,2000
04000US50,39594,2000
04000US51,47163,2000
04000US53,42525,2000
04000US54,29411,2000
04000US55,45088,2000
04000US56,39629,2000
04000US01,35160,2001
04000US02,57363,2001
04000US04,42704,2001
04000US05,33339,2001
04000US06,47262,2001
04000US08,49397,2001
04000US09,53347,2001
04000US10,49602,2001
04000US12,36421,2001
04000US13,42576,2001
04000US15,47439,2001
04000US16,38241,2001
04000US17,46171,2001
04000US18,40379,2001
04000US19,40976,2001
04000US20,41415,2001
04000US21,38437,2001
04000US22,33322,2001
04000US23,36612,2001
04000US24,53530,2001
04000US25,52253,2001
04000US26,45047,2001
04000US27,52681,2001
04000US28,30161,2001
04000US29,41339,2001
04000US30,32126,2001
04000US31,43611,2001
04000US32,45403,2001
04000US33,51331,2001
04000US34,51771,2001
04000US35,33124,2001
04000US36,42114,2001
04000US37,38162,2001
04000US38,35793,2001
04000US39,41785,2001
04000US40,35609,2001
04000US41,41273,2001
04000US42,43499,2001
04000US44,45723,2001
04000US45,37736,2001
04000US46,39671,2001
04000US47,35783,2001
04000US48,40860,2001
04000US49,47342,2001
04000US50,40794,2001
04000US51,50241,2001
04000US53,42490,2001
04000US54,29673,2001
04000US55,45346,2001
04000US56,39719,2001
04000US01,37255,2003
04000US02,51837,2003
04000US04,41166,2003
04000US05,32002,2003
04000US06,49300,2003
04000US08,49940,2003
04000US09,54965,2003
04000US10,49019,2003
04000US12,38972,2003
04000US13,42438,2003
04000US15,51834,2003
04000US16,42372,2003
04000US17,45153,2003
04000US18,42425,2003
04000US19,41384,2003
04000US20,44232,2003
04000US21,36936,2003
04000US22,33507,2003
04000US23,37113,2003
04000US24,52314,2003
04000US25,50955,2003
04000US26,45022,2003
04000US27,52823,2003
04000US28,32728,2003
04000US29,43762,2003
04000US30,34108,2003
04000US31,43974,2003
04000US32,45184,2003
04000US33,55567,2003
04000US34,56045,2003
04000US35,35105,2003
04000US36,42788,2003
04000US37,37279,2003
04000US38,40410,2003
04000US39,43520,2003
04000US40,35902,2003
04000US41,41638,2003
04000US42,42933,2003
04000US44,44711,2003
04000US45,38479,2003
04000US46,39522,2003
04000US47,37523,2003
04000US48,39271,2003
04000US49,49275,2003
04000US50,43261,2003
04000US51,54783,2003
04000US53,47508,2003
04000US54,32763,2003
04000US55,46269,2003
04000US56,42555,2003
04000US01,37603,2002
04000US02,52774,2002
04000US04,39734,2002
04000US05,32387,2002
04000US06,47437,2002
04000US08,48294,2002
04000US09,53387,2002
04000US10,49650,2002
04000US12,38024,2002
04000US13,42939,2002
04000US15,47303,2002
04000US16,37715,2002
04000US17,42710,2002
04000US18,41047,2002
04000US19,41049,2002
04000US20,42619,2002
04000US21,36762,2002
04000US22,34008,2002
04000US23,36853,2002
04000US24,56407,2002
04000US25,49855,2002
04000US26,42715,2002
04000US27,54622,2002
04000US28,30882,2002
04000US29,42776,2002
04000US30,34835,2002
04000US31,42796,2002
04000US32,44958,2002
04000US33,55321,2002
04000US34,54568,2002
04000US35,35457,2002
04000US36,41966,2002
04000US37,36515,2002
04000US38,36200,2002
04000US39,42684,2002
04000US40,36458,2002
04000US41,41802,2002
04000US42,42498,2002
04000US44,42417,2002
04000US45,37812,2002
04000US46,37873,2002
04000US47,37030,2002
04000US48,40149,2002
04000US49,47861,2002
04000US50,42999,2002
04000US51,49631,2002
04000US53,45183,2002
04000US54,29359,2002
04000US55,45903,2002
04000US56,39763,2002
04000US01,39980,2009
04000US02,61604,2009
04000US04,45739,2009
04000US05,36538,2009
04000US06,56134,2009
